id,name,street,zip,city,date_start,date_end,user_id/id,building_project_tag_ids,project_type_id,build_state,build_type
slx_dataimport.buildingproject_-2144261558,"Gewerbehaus Von Allmen, Pfäffikon",,,,2006-09-04,2009-12-31,scenario.res_users_rgl,,"Öffentliche Bauten, Kultur",request,new
slx_dataimport.buildingproject_-2144261556,"Objekt: EFH Meier, Offerte: 2055157, 2055235",,,,2006-08-15,2009-12-31,scenario.res_users_pgl,Lead aus Ineltec 2015,Wohnbauten,,conversion
slx_dataimport.buildingproject_-2144261554,"Objekt: ?, Offerte 2055482",,,,2006-09-15,2009-12-31,scenario.res_users_cfr,Minergie-zertifiziert,Wohnbauten,,
slx_dataimport.buildingproject_-2144261552,"Objekt: ?, Offerte 2055510",,,,2006-09-15,2009-12-31,scenario.res_users_cfr,Referenz-Projekt,Wohnbauten,,
slx_dataimport.buildingproject_-2144261550,"Objekt: ?, Offerte 2055098",,,,2006-09-18,2009-12-31,scenario.res_users_cfr,"Minergie-zertifiziert,Referenz-Projekt",Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261548,"Objekt: ?, Offerte 2054421",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261546,"Objekt: ?, Offerte 2055507",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,Industrie und Gewerbe,,
slx_dataimport.buildingproject_-2144261544,"Objekt: ?, Offerte 2055510",,,,2006-09-19,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261542,"Kundenanlässe (Workshops, Events etc) mit Otto Fischer",,,,2006-09-21,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261541,Wohnsiedlung Leimbach,,,,2006-09-26,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261539,Wohnüberbauung am Katzenbach,,,,2006-09-27,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261537,"Objekt: ?, Offerte: 2055693",,,,2006-09-18,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261535,"Objekt: Valsecchi Bellerivestrasse 241, Auftragsnummer: 108141.0",,,,2005-09-01,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261533,"ZIS, Eichenweg 2, Adliswil",,,,2006-04-24,,scenario.res_users_dla,,,,
slx_dataimport.buildingproject_-2144261531,"Objekt: ?, Auftragsnummer: LAOOM153901, Offerte 2055787",,,,2006-09-26,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261529,Objekt: Treppenhaus umbau MFH,,,,2006-02-16,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261527,"Objekt: Kontainer SBB, Offerte: 2051555",,,,2006-09-01,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261525,"Objekt: ETH Zürich ETZ, Gloriastrasse, Auftragsnummer 312224.00",,,,2006-09-06,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261523,"Objekt: Museum Rietberg, Offerte: 2054409",,,,2006-05-16,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261521,"Objekt: Glattpark Logo, Opfikon",,,,2006-10-18,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261519,"Objekt: Kreuzkapelle, Wettingen",,,,2006-10-18,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261517,"Objekt: Buckhauserstrasse, Zürich",,,,2006-10-18,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261515,"Objekt: Belle Vue, Berikon, Wohnbau",,,,2006-10-18,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261513,"Objekt: Chesa Arno, Silvaplana",,,,2006-10-20,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261511,"Objekt: Carlton Hotel, St. Moritz",,,,2006-10-20,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261509,Objekt: ?,,,,2006-10-20,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261507,"Objekt: Schulungsplätze LCN, Offerte: 2055557",,,,2006-09-06,2009-12-31,scenario.res_users_rgl,,,,
slx_dataimport.buildingproject_-2144261505,"Objekt: Wohnpark Eichwiesen, Fällanden, Auftragsnummer: 102364.0",,,,2005-05-17,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261503,"Objekt: Schulhäuser Lendenbach und Bachtel, Wetzikon, Umbau und ",,,,2005-06-13,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261501,"Objekt: MFH Hulfteggstrasse, Winterthur, Offerte: 2053504",,,,2006-02-16,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261499,"Objekt: GU-Batigroup Badener-/Buckhauserstrasse, Auftragsnummer:",,,,2005-11-15,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261497,"Objekt: 10 EFH Dachsegg, Rüti, Offerte: 2051199",,,,2005-07-26,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261495,"Allreal/Takt 9 Hohlstrasse, 108028.001, Offerte: 2052251",,,,2005-11-02,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261493,"Objekt: Hotel Dolder, Zürich",,,,2006-09-21,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261491,"Objekt: Zentralbibliothek, Auftragsnummer: Sibi 410000, Offerte:",,,,2006-09-13,2009-12-31,scenario.res_users_sgl,,,,
slx_dataimport.buildingproject_-2144261489,"Objekt: CS Wädenswil, Offerte: 2056153, 20+2%",,,,2006-10-24,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261487,"Objekt: Personalhaus Palace, St. Moritz, Offerte: 2056120",,,,2006-10-20,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261485,"Objekt: Sihlcity, Zürich, Auftragsnummer: 2507",,,,2006-03-24,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261483,Objekt: Uni Irchel 2. Ettappe,,,,2006-08-25,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261481,"Objekt: Wohnsiedlung Brunnenhof, Offerte: 2051197",,,,2005-07-26,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261479,Objekt: ?,,,,2006-11-21,2009-12-31,scenario.res_users_pgl,,,,
slx_dataimport.buildingproject_-2144261477,"Objekt: Kantonsschule Baden, Offerte: 2056407",,,,2006-11-09,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261475,"Objekt: Hotel ?, BE-567833, Offerte 2056701",,,,2006-11-29,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261473,"Objekt: Alters- und Pflegeheim, Weinfelden, Offerte: 2056490",,,,2006-11-14,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261471,"TBZ, Sihlstrasse 101, 8005 Zürich",,,,2004-07-01,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261469,"Objekt: Hebelstrasse 7, Basel",,,,2007-01-11,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261467,"Objekt: ?, Auftragsnummer: 103103.348.01, Offerte: 2054906",,,,2006-07-06,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261465,Objekt: Schulhaus Alpenstrasse. Offerte: 2054421,,,,2006-05-17,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261463,"Objekt: Haltenstrasse, Auftragsnummer: 101264.001, Offerte: 2054",,,,2006-05-17,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261461,"Objekt: Migros Grünau, Offerte GH",,,,2007-01-18,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261459,"Objekt: ?, Offerte: 2057335",,,,2007-01-18,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261457,"Objekt: Crone Plaza, Offerte: 2057367",,,,2007-01-24,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261455,"EFH Richner, Reitibuechstrasse 16, 5636 Benzenschwil",,,,2006-09-23,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261453,"Objekt: Giardino, GEWOBAG, Schlieren, Offerte: 2053126",,,,2006-01-17,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261451,"Objekt: CeCe Areal, Whg-Bau, ZH-Affoltern",,,,2007-01-26,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261449,"Objekt: Cattaneo, Dietikon, Offerte: 2054437",,,,2006-05-19,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261447,"Objekt: Grafenau Süd, Zug, Offerte GH",,,,2007-01-26,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261445,"Objekt: Kemmatten, Hünenberg",,,,2006-02-08,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261443,"LCN-Objekt, Wohnung Harald Schwind, Schaffhausen, Offerte: 20560",,,,2006-09-28,2009-12-31,scenario.res_users_rgl,,,,
slx_dataimport.buildingproject_-2144261441,"Objekt: EFH Bachtalenstrasse 10, 8909 Hedingen",,,,2006-11-01,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261439,Objekt: EFH Brustio,,,,2006-11-01,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261437,"Objekt: Grand Hotel Bad Ragaz (Gesamtsanierung, teils Neubau)",,,,2006-10-25,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261435,"Objekt: Grand Hotel Bad Ragaz (Gesamtsanierung, teils Neubau)",,,,2006-11-30,2009-12-31,scenario.res_users_sku,,,,
slx_dataimport.buildingproject_-2144261433,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055420",,,,2006-08-29,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261431,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055433",,,,2006-08-30,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261429,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055434",,,,2006-08-30,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261427,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055511",,,,2006-09-04,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261425,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055517",,,,2006-09-05,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261423,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055415",,,,2006-08-29,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261421,"Objekt: Carrefour Schönbühl, Erweiterung",,,,2006-08-01,2009-12-31,scenario.res_users_rgl,,,,
slx_dataimport.buildingproject_-2144261419,"Objekt: Carrefour Schönbühl, Erweiterung, Offerte: 2055437, 2055",,,,2006-09-11,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261417,Objekt: ? Offerte: 2057587,,,,2007-01-31,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261415,"Objekt: Eigenbedarf, Offerte: 2057668",,,,2007-02-05,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261413,"Objekt: Endress + Hauser, Auftragsnummer: 542.500",,,,2007-02-06,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261411,Objekt: Novartis 310 (Musterraum),,,,2007-02-06,2009-12-31,scenario.res_users_rgl,,,,
slx_dataimport.buildingproject_-2144261409,"Objekt: ?, Offerte 2057724",,,,2007-02-08,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261407,"Objekt: Etat de Vaud - Recordon 1, Offerte: 2055394",,,,2006-08-25,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261405,"Objekt: ?, Offerte: 2055507 / 2055510",,,,2006-09-04,2009-12-31,scenario.res_users_sgl,,,,
slx_dataimport.buildingproject_-2144261403,"Objekt: GZR, Reinach, Offerte: 2057501",,,,2007-01-26,2009-12-31,scenario.res_users_cfr,,,,
slx_dataimport.buildingproject_-2144261401,"Objekt: IBB Betreibsgebäude Brugg, Offerte über GH, 11653",,,,2007-02-05,2009-12-31,scenario.res_users_sku,,,,
