id,pricelist_id/id,sequence,applied_on,compute_price,fixed_price,base,base_pricelist_id:id,min_quantity,percent_price,price_discount,price_round,categ_id:id,product_tmpl_id:id
scenario.productpricelistitem_all_brutto,scenario.productpricelist_all_brutto,0,3_global,formula,,list_price,,1,,0,0.05,,
scenario.productpricelistitem_all_netto,scenario.productpricelist_all_netto,0,3_global,formula,,pricelist,scenario.productpricelist_all_brutto,1,,28,0.05,,
scenario.productpricelistitem_all_gh_eldas1,scenario.productpricelist_all_gh_eldas,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_gh_div1,scenario.productpricelist_all_gh_div1,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_gh_div2,scenario.productpricelist_all_gh_div2,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_digitalstrom,scenario.productpricelist_digitalstrom,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_beg_leuchtenhst,scenario.productpricelist_beg_leuchtenhst,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_beg_handeldiv,scenario.productpricelist_beg_handeldiv,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_aastra,scenario.productpricelist_led_aastra,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_handel1,scenario.productpricelist_led_handel1,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_handel2,scenario.productpricelist_led_handel2,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_handel3,scenario.productpricelist_led_handel3,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_leuchtenhst1,scenario.productpricelist_led_leuchtenhst1,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_leuchtenhst2,scenario.productpricelist_led_leuchtenhst2,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_leuchtenhst3,scenario.productpricelist_led_leuchtenhst3,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_bauherr1,scenario.productpricelist_led_bauherr1,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_bauherr2,scenario.productpricelist_led_bauherr2,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_bauherr3,scenario.productpricelist_led_bauherr3,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_led_bauherr4,scenario.productpricelist_led_bauherr4,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_eigenbedarf,scenario.productpricelist_all_eigenbedarf,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_ausbildung,scenario.productpricelist_all_ausbildung,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_muster,scenario.productpricelist_all_muster,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_return,scenario.productpricelist_all_return,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_free,scenario.productpricelist_all_free,999,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,product.product_category_all,
scenario.productpricelistitem_all_gh_eldas_R0,scenario.productpricelist_all_gh_eldas,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_all_gh_eldas_R201,scenario.productpricelist_all_gh_eldas,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,35,0.05,scenario.product_category_R201,
scenario.productpricelistitem_all_gh_eldas_R202,scenario.productpricelist_all_gh_eldas,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,35,0.05,scenario.product_category_R202,
scenario.productpricelistitem_all_gh_eldas_R203,scenario.productpricelist_all_gh_eldas,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,35,0.05,scenario.product_category_R203,
scenario.productpricelistitem_all_gh_eldas_R204,scenario.productpricelist_all_gh_eldas,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R204,
scenario.productpricelistitem_all_gh_eldas_R205,scenario.productpricelist_all_gh_eldas,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,35,0.05,scenario.product_category_R205,
scenario.productpricelistitem_all_gh_eldas_R206,scenario.productpricelist_all_gh_eldas,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R206,
scenario.productpricelistitem_all_gh_div1_R0,scenario.productpricelist_all_gh_div1,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_all_gh_div1_R201,scenario.productpricelist_all_gh_div1,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,33,0.05,scenario.product_category_R201,
scenario.productpricelistitem_all_gh_div1_R202,scenario.productpricelist_all_gh_div1,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,33,0.05,scenario.product_category_R202,
scenario.productpricelistitem_all_gh_div1_R203,scenario.productpricelist_all_gh_div1,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R203,
scenario.productpricelistitem_all_gh_div1_R204,scenario.productpricelist_all_gh_div1,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,28,0.05,scenario.product_category_R204,
scenario.productpricelistitem_all_gh_div1_R205,scenario.productpricelist_all_gh_div1,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,33,0.05,scenario.product_category_R205,
scenario.productpricelistitem_all_gh_div1_R206,scenario.productpricelist_all_gh_div1,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,23,0.05,scenario.product_category_R206,
scenario.productpricelistitem_all_gh_div2_R0,scenario.productpricelist_all_gh_div2,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_all_gh_div2_R201,scenario.productpricelist_all_gh_div2,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R201,
scenario.productpricelistitem_all_gh_div2_R202,scenario.productpricelist_all_gh_div2,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R202,
scenario.productpricelistitem_all_gh_div2_R203,scenario.productpricelist_all_gh_div2,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R203,
scenario.productpricelistitem_all_gh_div2_R204,scenario.productpricelist_all_gh_div2,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R204,
scenario.productpricelistitem_all_gh_div2_R205,scenario.productpricelist_all_gh_div2,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R205,
scenario.productpricelistitem_all_gh_div2_R206,scenario.productpricelist_all_gh_div2,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,20,0.05,scenario.product_category_R206,
scenario.productpricelistitem_digitalstrom_R0,scenario.productpricelist_digitalstrom,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_digitalstrom_R201,scenario.productpricelist_digitalstrom,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R201,
scenario.productpricelistitem_digitalstrom_R202,scenario.productpricelist_digitalstrom,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_digitalstrom_R203,scenario.productpricelist_digitalstrom,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R203,
scenario.productpricelistitem_digitalstrom_R204,scenario.productpricelist_digitalstrom,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
scenario.productpricelistitem_digitalstrom_R205,scenario.productpricelist_digitalstrom,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R205,
scenario.productpricelistitem_digitalstrom_R206,scenario.productpricelist_digitalstrom,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,20,0.05,scenario.product_category_R206,
scenario.productpricelistitem_beg_leuchtenhst_R0,scenario.productpricelist_beg_leuchtenhst,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_beg_leuchtenhst_R201,scenario.productpricelist_beg_leuchtenhst,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R201,
scenario.productpricelistitem_beg_leuchtenhst_R202,scenario.productpricelist_beg_leuchtenhst,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_beg_leuchtenhst_R203,scenario.productpricelist_beg_leuchtenhst,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R203,
scenario.productpricelistitem_beg_leuchtenhst_R204,scenario.productpricelist_beg_leuchtenhst,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
scenario.productpricelistitem_beg_leuchtenhst_R205,scenario.productpricelist_beg_leuchtenhst,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R205,
scenario.productpricelistitem_beg_leuchtenhst_R206,scenario.productpricelist_beg_leuchtenhst,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R206,
scenario.productpricelistitem_beg_handeldiv_R0,scenario.productpricelist_beg_handeldiv,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_beg_handeldiv_R201,scenario.productpricelist_beg_handeldiv,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R201,
scenario.productpricelistitem_beg_handeldiv_R202,scenario.productpricelist_beg_handeldiv,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R202,
scenario.productpricelistitem_beg_handeldiv_R203,scenario.productpricelist_beg_handeldiv,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R203,
scenario.productpricelistitem_beg_handeldiv_R204,scenario.productpricelist_beg_handeldiv,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R204,
scenario.productpricelistitem_beg_handeldiv_R205,scenario.productpricelist_beg_handeldiv,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R205,
scenario.productpricelistitem_beg_handeldiv_R206,scenario.productpricelist_beg_handeldiv,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,20,0.05,scenario.product_category_R206,
scenario.productpricelistitem_led_aastra_R0,scenario.productpricelist_led_aastra,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_led_aastra_R201,scenario.productpricelist_led_aastra,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R201,
scenario.productpricelistitem_led_aastra_R202,scenario.productpricelist_led_aastra,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_led_aastra_R203,scenario.productpricelist_led_aastra,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,45,0.05,scenario.product_category_R203,
scenario.productpricelistitem_led_aastra_R204,scenario.productpricelist_led_aastra,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
scenario.productpricelistitem_led_aastra_R205,scenario.productpricelist_led_aastra,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R205,
scenario.productpricelistitem_led_aastra_R206,scenario.productpricelist_led_aastra,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R206,
scenario.productpricelistitem_led_handel1_R0,scenario.productpricelist_led_handel1,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_led_handel1_R201,scenario.productpricelist_led_handel1,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R201,
scenario.productpricelistitem_led_handel1_R202,scenario.productpricelist_led_handel1,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_led_handel1_R203,scenario.productpricelist_led_handel1,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,30,0.05,scenario.product_category_R203,
scenario.productpricelistitem_led_handel1_R204,scenario.productpricelist_led_handel1,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
scenario.productpricelistitem_led_handel1_R205,scenario.productpricelist_led_handel1,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R205,
scenario.productpricelistitem_led_handel1_R206,scenario.productpricelist_led_handel1,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R206,
scenario.productpricelistitem_led_handel2_R0,scenario.productpricelist_led_handel2,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_led_handel2_R201,scenario.productpricelist_led_handel2,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R201,
scenario.productpricelistitem_led_handel2_R202,scenario.productpricelist_led_handel2,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_led_handel2_R203,scenario.productpricelist_led_handel2,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,25,0.05,scenario.product_category_R203,
scenario.productpricelistitem_led_handel2_R204,scenario.productpricelist_led_handel2,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
scenario.productpricelistitem_led_handel2_R205,scenario.productpricelist_led_handel2,205,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R205,
scenario.productpricelistitem_led_handel2_R206,scenario.productpricelist_led_handel2,206,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R206,
scenario.productpricelistitem_led_handel3_R0,scenario.productpricelist_led_handel3,0,2_product_category,formula,,pricelist,scenario.productpricelist_all_brutto,1,,0,0.05,scenario.product_category_R0,
scenario.productpricelistitem_led_handel3_R201,scenario.productpricelist_led_handel3,201,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R201,
scenario.productpricelistitem_led_handel3_R202,scenario.productpricelist_led_handel3,202,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R202,
scenario.productpricelistitem_led_handel3_R203,scenario.productpricelist_led_handel3,203,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,20,0.05,scenario.product_category_R203,
scenario.productpricelistitem_led_handel3_R204,scenario.productpricelist_led_handel3,204,2_product_category,formula,,pricelist,scenario.productpricelist_all_netto,1,,0,0.05,scenario.product_category_R204,
